path,participant_id,sequence_id,sign
train_landmark_files/26734-1000035562.pt,26734,1000035562,blow
train_landmark_files/28656-1000106739.pt,28656,1000106739,wait
train_landmark_files/16069-100015657.pt,16069,100015657,cloud
train_landmark_files/25571-1000210073.pt,25571,1000210073,bird
train_landmark_files/62590-1000240708.pt,62590,1000240708,owie
train_landmark_files/26734-1000241583.pt,26734,1000241583,duck
train_landmark_files/26734-1000255522.pt,26734,1000255522,minemy
train_landmark_files/32319-1000278229.pt,32319,1000278229,lips
train_landmark_files/37055-100035691.pt,37055,100035691,flower
train_landmark_files/29302-100039661.pt,29302,100039661,time
train_landmark_files/49445-1000397667.pt,49445,1000397667,vacuum
train_landmark_files/36257-1000536928.pt,36257,1000536928,apple
train_landmark_files/22343-1000638205.pt,22343,1000638205,puzzle
train_landmark_files/26734-1000661926.pt,26734,1000661926,mitten
train_landmark_files/27610-1000697904.pt,27610,1000697904,there
train_landmark_files/28656-1000862366.pt,28656,1000862366,dry
train_landmark_files/61333-1000909322.pt,61333,1000909322,shirt
train_landmark_files/27610-1000956928.pt,27610,1000956928,owl
train_landmark_files/26734-1001145816.pt,26734,1001145816,yellow
train_landmark_files/28656-1001158776.pt,28656,1001158776,time
train_landmark_files/22343-1001223069.pt,22343,1001223069,not
train_landmark_files/32319-1001258102.pt,32319,1001258102,zipper
train_landmark_files/26734-1001284511.pt,26734,1001284511,clean
train_landmark_files/53618-1001363076.pt,53618,1001363076,closet
train_landmark_files/34503-100137027.pt,34503,100137027,quiet
train_landmark_files/18796-1001373962.pt,18796,1001373962,have
train_landmark_files/53618-1001379621.pt,53618,1001379621,brother
train_landmark_files/4718-1001385785.pt,4718,1001385785,clown
train_landmark_files/55372-1001471195.pt,55372,1001471195,cheek
train_landmark_files/53618-1001490690.pt,53618,1001490690,cute
train_landmark_files/49445-1001499433.pt,49445,1001499433,store
train_landmark_files/36257-1001560021.pt,36257,1001560021,shoe
train_landmark_files/26734-1001589428.pt,26734,1001589428,wet
